Name,Categories,Phone Number,Link,ID
Great Start Realty,Real estate agent,,https://nextdoor.com/pages/great-start-realty-las-vegas-nv/,66039154
Bee Neat,House cleaning service,+16038921075,https://nextdoor.com/pages/bee-neat-sunapee-nh/,66039182
Odyssey Rentals LLC ,"Landscape architect/designer,Mulch,Junk removal & hauling,Tree service",,https://nextdoor.com/pages/odyssey-rentals-llc-hollywood-fl/,66039216
"Susan Vilasi, Realtor with eXp. ",Real estate agent,+14063610306,https://nextdoor.com/pages/susan-vilasi-realtor-with-exp-hamilton-mt/,66039223
Pro Tile and Remodeling LLC,"Flooring service,Drywall repair,Kitchen remodeler,Tile installer,House painter,Deck renovation service,Siding installation,Bathroom remodeling service",+18644154509,https://nextdoor.com/pages/pro-tile-and-remodeling-llc-wellford-sc/,66039241
Faith in Fences,"Fence builder,Welding Service",+19706607165,https://nextdoor.com/pages/faith-in-fences-steamboat-springs-co/,66039253
Loans By Ash,"Real estate agent,Commercial Real Estate Developer,Loan consultant,Real estate broker",+14086238171,https://nextdoor.com/pages/loans-by-ash-san-rafael-ca/,66039256
Chad Michael Construction Inc.,Construction,,https://nextdoor.com/pages/chad-michael-construction-inc-oceanside-ca/,66039282
SprayK-47 Pressure Washing,"Gutter service,Pressure washing,Drywall repair,House cleaning service,House painter",+16232583485,https://nextdoor.com/pages/sprayk-47-pressure-washing-tempe-az/,66039316
galloway realty,"Home builder,Real estate broker,Commercial Real Estate Developer",,https://nextdoor.com/pages/galloway-realty-scottsdale-az/,66039346
Century21 plaza,Real estate agent,,https://nextdoor.com/pages/century21-plaza-bakersfield-ca/,66039361
Goldstar plumbing,"Plumbing fixture,Drainage service",+18325947045,https://nextdoor.com/pages/goldstar-plumbing-virginia-beach-va/,66039365
K.O. Cleaning,House cleaning service,+15018043849,https://nextdoor.com/pages/ko-cleaning-jessieville-ar/,66039366
 Barbalho Construction ,Construction,+15089333030,https://nextdoor.com/pages/barbalho-construction-fall-river-ma/,66039367
Joyful Window Cleaning,Window washing service,+14244367246,https://nextdoor.com/pages/joyful-window-cleaning-santa-monica-ca/,66039370
E General  pro,Landscape contractor,+17272733638,https://nextdoor.com/pages/e-general-pro-st-petersburg-fl/,66039371
Handyman service ,"Construction,Bathroom remodeling service",+19165783129,https://nextdoor.com/pages/handyman-service-toledo-oh/,66039378
Amplifii Marketing Solutions inc,Life coach,,https://nextdoor.com/pages/amplifii-marketing-solutions-inc-colorado-springs-co/,66039381
Furniturefooties ,"College Gym,Middle School,Elementary School,Home builder,Eldercare,Daycare,High school",,https://nextdoor.com/pages/furniturefooties-cape-coral-fl/,66039400
Permex llc,Drywall repair,+14044810753,https://nextdoor.com/pages/permex-llc-duluth-ga/,66039404
The Leaf Pros,Gutter service,+18105990286,https://nextdoor.com/pages/the-leaf-pros-lyons-in/,66039414
Arizona Electric,Electrician,+16232428930,https://nextdoor.com/pages/arizona-electric-glendale-az-1/,66039417
Calabro and son,Landscape contractor,,https://nextdoor.com/pages/calabro-and-son-hendersonville-nc/,66039419
Amish cleaning!,House cleaning service,+12602496821,https://nextdoor.com/pages/amish-cleaning-grabill-in/,66039427
Sandi Fisher - Realtor,Real estate broker,,https://nextdoor.com/pages/sandi-fisher-realtor-spokane-valley-wa/,66039437
Real Estate,Real estate agent,+17188770500,https://nextdoor.com/pages/real-estate-new-york-city-ny-7/,66039457
Alfaro Cleaning Service,House cleaning service,,https://nextdoor.com/pages/alfaro-cleaning-service-charlotte-nc/,66039473
Dxd landscaping ,"Waste Management Service,Gutter service,Landscape contractor,Snow removal service,Lawn service,Property manager,Window washing service,Drainage service",,https://nextdoor.com/pages/dxd-landscaping-southfield-mi/,66039493
Bintastik,Waste Management Service,+19045741886,https://nextdoor.com/pages/bintastik-jacksonville-fl/,66039503
GSR Trucking Inc.,"Hauling,Construction,Landscape contractor",+18287797177,https://nextdoor.com/pages/gsr-trucking-inc-mills-river-nc/,66039528
RadSab Services LLC ,Laundry Service,+12025706981,https://nextdoor.com/pages/radsab-services-llc-gaithersburg-md/,66039530
Top notch appliance repair,Appliance repair service,,https://nextdoor.com/pages/top-notch-appliance-repair-new-york-city-ny/,66039532
Reliable yardworker and landscaper,"Lawn service,Junk removal & hauling,Pressure washing",+13604035928,https://nextdoor.com/pages/reliable-yardworker-and-landscaper-marysville-wa/,66039562
Sparkling cleaning ,House cleaning service,,https://nextdoor.com/pages/sparkling-cleaning-lake-clarke-shores-fl/,66039580
Monument building sevices,Home builder,,https://nextdoor.com/pages/monument-building-sevices-carson-city-nv/,66039590
House & Garden Services,"Garden,Drywall repair,Other home and garden service,Kitchen remodeler,Tile installer,House painter,Lawn service,Bathroom remodeling service,General contractor",,https://nextdoor.com/pages/house-garden-services-north-port-fl/,66039594
RSB Yards,Lawn service,+13216142631,https://nextdoor.com/pages/rsb-yards-new-york-city-ny/,66039620
The 11th Hour Escape Room,Entertainment Service,,https://nextdoor.com/pages/the-11th-hour-escape-room-corpus-christi-tx/,66039673
Sunstate Distributors,Flooring service,,https://nextdoor.com/pages/sunstate-distributors-sarasota-fl/,66039677
JNG Electric LLC,Electrician,+16094710145,https://nextdoor.com/pages/jng-electric-llc-hammonton-nj/,66039706
"Accelerated Roadside Assistance, LLC",Towing service,,https://nextdoor.com/pages/accelerated-roadside-assistance-llc-orange-city-fl/,66039711
Healthy Haven Cleaning Co LLC,House cleaning service,+16364866633,https://nextdoor.com/pages/healthy-haven-cleaning-co-llc-dardenne-prairie-mo/,66039715
Angermeier Electric,"Electronics repair,Lighting installation,Electrician,Electric Vehicle Charging Station,General contractor",+18122157302,https://nextdoor.com/pages/angermeier-electric-fort-branch-in/,66039718
Skin by lyric ,Salon and spa,,https://nextdoor.com/pages/skin-by-lyric-jenkintown-pa/,66039731
JVA Landscaping ,"Fence builder,Pressure washing,Landscape contractor",+16502885356,https://nextdoor.com/pages/jva-landscaping-half-moon-bay-ca/,66039739
"Maid in the Fort Cleaning Services, LLC",House cleaning service,+19702271472,https://nextdoor.com/pages/maid-in-the-fort-cleaning-services-llc-fort-collins-co/,66039763
"Mac Systems Consultants, LLC","Computer class,Business consultant,Computer services,IT Services & Computer Repair,Computer repair service",+18008788063,https://nextdoor.com/pages/mac-systems-consultants-llc-saint-albans-mo/,66039777
J and J Hauling,Construction,+18303090521,https://nextdoor.com/pages/j-and-j-hauling-new-braunfels-tx/,66039790
RDcleaningllc,House cleaning service,,https://nextdoor.com/pages/rdcleaningllc-north-charleston-sc/,66039808
Gabriela cleaning solution ,"House cleaning service,Housekeeper or maid service",,https://nextdoor.com/pages/gabriela-cleaning-solution-watsonville-ca/,66039871
J&J Home Services ,General contractor,+15186981778,https://nextdoor.com/pages/jj-home-services-greenfield-center-ny-1/,66039885
Luna Mums,"Accessories store,High school",+19725897313,https://nextdoor.com/pages/luna-mums-rowlett-tx/,66039886
Cindy Martin's Express Courier LLC ,Couriers & delivery services,,https://nextdoor.com/pages/cindy-martins-express-courier-llc-aurora-co/,66039898
Adam’s affordable construction llc,Construction,+18638128401,https://nextdoor.com/pages/adams-affordable-construction-llc-santa-cruz-ca/,66039950
EXIT Realty Elite Properties,Real estate broker,+17047911278,https://nextdoor.com/pages/exit-realty-elite-properties-concord-nc-1/,66039965
Enhance Health,"Health insurance agent,Life insurance agent",+19048985659,https://nextdoor.com/pages/enhance-health-sunrise-fl/,66039978
Mamazs restaurant & super market ,African Restaurant,,https://nextdoor.com/pages/mamazs-restaurant-super-market-oklahoma-city-ok/,66039982
Pressure Washing Near Me,"House cleaning service,Gutter service,Pressure washing,Deck renovation service",,https://nextdoor.com/pages/pressure-washing-near-me-cantonment-fl/,66039987
Viking Appliance Repairs Coral Gables,Appliance repair service,+18553933634,https://nextdoor.com/pages/viking-appliance-repairs-coral-gables-coral-gables-fl/,66039999
"Brian Cordero, Realtor",Real estate agent,,https://nextdoor.com/pages/brian-cordero-realtor-centennial-co/,66040079
ShoreCut Lawn Service LLC,Lawn service,+12402855383,https://nextdoor.com/pages/shorecut-lawn-service-llc-goose-creek-sc/,66040080
Fabulous Family Finds ,"Children's clothing store,Fashion Retail,Food and Beverage Retail,Cosmetics retailer,Shopping Plaza,Sports wear store",,https://nextdoor.com/pages/fabulous-family-finds-raymore-mo/,66040095
Sundial tree care,Tree service,,https://nextdoor.com/pages/sundial-tree-care-redding-ca/,66040102
Diaz cleaning ,House cleaning service,,https://nextdoor.com/pages/diaz-cleaning-silver-spring-md/,66040104
Senior Health Plan Solutions,Health insurance agent,,https://nextdoor.com/pages/senior-health-plan-solutions-fayetteville-nc/,66040105
Osos Premier Properties LLC,"Real estate agent,Real estate broker",+17206290021,https://nextdoor.com/pages/osos-premier-properties-llc-aurora-co/,66040110
"Daniel Dye, Realtor®",Real estate agent,+12819749824,https://nextdoor.com/pages/daniel-dye-realtor-columbus-tx/,66040116
Great Hydration & Wellness ,"Salon and spa,Other Healthcare Professional,Fitness facility,Health and wellness coach",+12603578837,https://nextdoor.com/pages/great-hydration-wellness-fort-wayne-in/,66040125
Power Services,"Gutter service,Pressure washing,House cleaning service,Junk removal & hauling,Tree service,Carpet cleaner,Lawn service,Window washing service",+12697698095,https://nextdoor.com/pages/power-services-berrien-springs-mi/,66040185
Alaska Snow Removal ,"Hauling,Asphalt paver,Landscape contractor,Tree service,Snow removal service,Lawn service,Concrete repair service,Driveway repair service",+19073445000,https://nextdoor.com/pages/alaska-snow-removal-anchorage-ak-3/,66040188
Tempo hill,"Mover,General contractor",+12028063238,https://nextdoor.com/pages/tempo-hill-landover-md/,66040194
South Tech Security ,Home security service,,https://nextdoor.com/pages/south-tech-security-berlin-pa/,66040207
jmhjanitorial.com,"House cleaning service,Housekeeper or maid service",,https://nextdoor.com/pages/jmhjanitorialcom-romulus-mi/,66040212
"The Kitchen, Bathroom & Flooring Store","Flooring service,Closet repair and renovation,Kitchen remodeler,Tile installer,Bathroom remodeling service",+19047781583,https://nextdoor.com/pages/manoartis-jacksonville-fl/,66040216
Alas Palma brothers remodeling,"Carpenter,Electrician,Tile installer,Kitchen remodeler,Bathroom remodeling service,Plumbing fixture",,https://nextdoor.com/pages/alas-palma-brothers-remodeling-midland-tx/,66040226
Brandons electrical service,Electrician,,https://nextdoor.com/pages/brandons-electrical-service-springfield-la/,66040270
Electrician for hire ,Electrician,,https://nextdoor.com/pages/electrician-for-hire-fort-worth-tx/,66040301
Tutoring for Literacy,"Academic,Grade school,Education,Elementary School",,https://nextdoor.com/pages/tutoring-for-literacy-bayville-nj/,66040309
RG Cleaning Service,House cleaning service,+18573465436,https://nextdoor.com/pages/rg-cleaning-service-peabody-ma/,66040318
Tidy Turn Around Cleaning Service,"House cleaning service,General contractor",+15173424497,https://nextdoor.com/pages/tidy-turn-around-cleaning-service-lansing-mi/,66040319
In Home Water Filtration & Ionization ,"Bottled water service,Water Treatment Service",,https://nextdoor.com/pages/in-home-water-filtration-ionization-tamarac-fl/,66040321
CC&S Enterprise LLC,Transportation service,,https://nextdoor.com/pages/ccs-enterprise-llc-yemassee-sc/,66040331
AEGIS ELDER ADVISORS,"Estate planner,Health insurance agent,Financial advisor,Life insurance agent",,https://nextdoor.com/pages/aegis-elder-advisors-parrish-fl-2/,66040342
Armstrong Arboriculpral Associates ,Tree service,+19547756803,https://nextdoor.com/pages/armstrong-arboriculpral-associates-lauderdale-lakes-fl/,66040354
Ana’s spotless cleaning ,House cleaning service,,https://nextdoor.com/pages/anas-spotless-cleaning-collierville-tn/,66040356
Generation 1 Insurance,"Home insurance agent,Health insurance agent,Life insurance agent",,https://nextdoor.com/pages/generation-1-insurance-seattle-wa/,66040370
Jr’C Lawn care services,"Garbage collection,Junk removal & hauling,Landscape contractor,Garden",+17609973429,https://nextdoor.com/pages/jrc-lawn-care-services-oakland-ca/,66040378
CCL Services,"Lawn service,Pressure washing",,https://nextdoor.com/pages/ccl-services-friendswood-tx/,66040404
5 Starr Aviation,"Flight School,Flight instruction",+14808189899,https://nextdoor.com/pages/5-starr-aviation-chandler-az/,66040406
Zeppa’s,Landscape architect/designer,,https://nextdoor.com/pages/zeppas-louisville-ky-1/,66040456
The Organizational Specialist,House cleaning service,+15417335202,https://nextdoor.com/pages/the-organizational-specialist-roseburg-or/,66040461
Luxury Homes USA,Commercial Real Estate Developer,,https://nextdoor.com/pages/luxury-homes-usa-farmers-branch-tx/,66040471
New Door Construction ,"Flooring service,Door replacement service,Construction,Roofer,House painter,Window replacement service",,https://nextdoor.com/pages/new-door-construction-long-beach-ca/,66040493
KG Plumbing Services of NWFL,"Plumber,Plumbing fixture",,https://nextdoor.com/pages/kg-plumbing-services-of-nwfl-crestview-fl/,66040494
Kameko Catering,Food and Beverage Service,+16614002173,https://nextdoor.com/pages/kameko-catering-palmdale-ca/,66040503
Feather-Weight Moving,"Other delivery service,Mover",,https://nextdoor.com/pages/feather-weight-moving-olathe-ks/,66040508
West coast truck driving school,"Burger restaurant,Acehnese Restaurant,ATM,AIDS Resource",,https://nextdoor.com/pages/west-coast-truck-driving-school-antioch-ca/,66040520
The Gleam Team,House cleaning service,+12074231663,https://nextdoor.com/pages/the-gleam-team-columbia-me/,66040538
B & F HOUSE CLEANING,"House cleaning service,House sitter,Housekeeper or maid service",,https://nextdoor.com/pages/b-f-house-cleaning-college-station-tx/,66040584
Razo Building Solutions LLC.,"Construction,Gutter service,Roofer,Handyman,Tree service,Siding installation,Snow removal service,Lawn service,Woodworking,General contractor",,https://nextdoor.com/pages/razo-building-solutions-llc-painesville-oh/,66040599
Wash pros nm,"Laundry Service,Couriers & delivery services",+15058645987,https://nextdoor.com/pages/wash-pros-nm-belen-nm/,66040628
k-ng’z Remodeling ,"Flooring service,Construction,Drywall repair,Kitchen remodeler,Handyman,House painter,Bathroom remodeling service",,https://nextdoor.com/pages/k-ngz-remodeling-compton-ca/,66040636
Knights Health Services,"Transportation service,Healthcare",,https://nextdoor.com/pages/knights-health-services-haverhill-ma/,66040643
SNA BEAUTY EMPIRE ,Salon and spa,+14458661723,https://nextdoor.com/pages/sna-beauty-empire-springfield-pa/,66040651
"Printing Solutions, LLC","Printing service,Shipping center",,https://nextdoor.com/pages/printing-solutions-llc-new-orleans-la/,66040653
T,Landscape architect/designer,,https://nextdoor.com/pages/ts-landscaping-llc-north-chesterfield-va/,66040664
Vietnam Veterans of America 1093,Veterans service organization,,https://nextdoor.com/pages/vietnam-veterans-of-america-1093-sierra-vista-az/,66040671
Phoenix Landscape construction,"Landscape architect/designer,Construction",+14808678484,https://nextdoor.com/pages/phoenix-landscape-construction-scottsdale-az/,66040680
Dee's Mobile Notary,"Notary,Other delivery service,Other service or business,Couriers & delivery services",+17703287682,https://nextdoor.com/pages/dees-mobile-notary-oak-hill-fl/,66040681
Right 4 U Cleaning Services,House cleaning service,,https://nextdoor.com/pages/right-4-u-cleaning-services-miami-fl/,66040682
Henson Pressure Washing LLC,"House cleaning service,Pressure washing,Gutter service,Window washing service",+12542511688,https://nextdoor.com/pages/henson-pressure-washing-llc-sanger-tx/,66040688
Contract Keepers Solutions,"Insurance agent,Other service or business,Technology Business",,https://nextdoor.com/pages/contract-keepers-solutions-ann-arbor-mi/,66040689
Graham Power and Technology,Electrician,+14709700249,https://nextdoor.com/pages/graham-power-and-technology-kennesaw-ga/,66040694
Cruz’s Handman Fixes,"Landscape architect/designer,Construction,Auto mechanic,Furniture restoration,Home builder,Basement remodeling services,Handyman",,https://nextdoor.com/pages/cruzs-handman-fixes-gainesville-ga/,66040701
Ironclad Storage,"Construction,Rental agent,Self Storage,Office Building,Garage storage,Disaster Preparation and Relief",+16514258750,https://nextdoor.com/pages/ironclad-storage-woodville-wi/,66040711
Michell Fernandez Real Estate Agent ,Real estate agent,,https://nextdoor.com/pages/michell-fernandez-real-estate-agent-irvine-ca/,66040712
WicklessWests-Independent Scentsy Consultant,"Other delivery service,Home decor service,Ask a Neighbor",+17405046027,https://nextdoor.com/pages/wicklesswests-independent-scentsy-consultant-groveport-oh/,66040716
Bonnie Wayland LLC,"Web designer,Other service or business",+18659781061,https://nextdoor.com/pages/bonnie-wayland-creative-phoenix-az/,66040720
Shift Cleaning LLC,House cleaning service,,https://nextdoor.com/pages/shift-cleaning-llc-anna-tx/,66040727
Absolute Oasis Pools and Landscaping LLC,"Landscape architect/designer,Irrigation,Stone mason,Pool builder,Concrete surfacing service,Concrete installation service,Pool designer,Concrete repair service",,https://nextdoor.com/pages/absolute-oasis-pools-and-landscaping-llc-schertz-tx/,66040731
Viking Repair Pro Glen Echo,Appliance repair service,+18449880068,https://nextdoor.com/pages/viking-repair-pro-glen-echo-washington-dc/,66040734
Carolina’s Housecleaning and Organizing ,House cleaning service,,https://nextdoor.com/pages/carolinas-housecleaning-and-organizing-spring-lake-mn/,66040735
New Creations Home Solutions LLC,Construction,+17272649575,https://nextdoor.com/pages/new-creations-home-solutions-llc-spring-hill-fl/,66040751
All About Floors LLC,Flooring service,+14259485054,https://nextdoor.com/pages/all-about-floors-llc-marysville-wa/,66040759
Florida Window Screens ,Construction,+14079061509,https://nextdoor.com/pages/florida-window-screens-winter-springs-fl/,66040767
LAB Cleaning Company ,House cleaning service,+16788552380,https://nextdoor.com/pages/lab-cleaning-company-rocky-face-ga/,66040771
Surfeit Initiatives,Agriculture and Forestry Service,,https://nextdoor.com/pages/surfeit-initiatives-ontario-or/,66040783
Indy All Phase Electrical Services ,Electrician,,https://nextdoor.com/pages/indy-all-phase-electrical-services-fairland-in/,66040801
Nicollette Sells Homes 🏡,Real estate agent,,https://nextdoor.com/pages/nicollette-sells-homes-colorado-springs-co/,66040818
Cecilia's cleaning,House cleaning service,,https://nextdoor.com/pages/cecilias-cleaning-romeoville-il/,66040823
HTX Home Services,"Door replacement service,Door and window trim,Pressure washing,Carpenter,Electrician,Handyman,House painter,Fence builder,Plumbing fixture",,https://nextdoor.com/pages/htx-home-services-nederland-tx/,66040834
WoodWorks,Construction,+19704053838,https://nextdoor.com/pages/woodworks-milliken-co/,66040862
Handyman xb xinic Beltrán ,Construction,+13234857408,https://nextdoor.com/pages/handyman-xb-xinic-beltran-san-mateo-ca/,66040864
Cody Melphy ,"Senior service,Health insurance agent,Life insurance agent",+13035628737,https://nextdoor.com/pages/cody-melphy-chula-vista-ca/,66040867
Morro's Tacos,Food Stand,,https://nextdoor.com/pages/morros-tacos-palmdale-ca/,66040876
Timmyboy Comedy Podcast,"Beach,Advertising,Construction,Career counselor,Artist,Adult Education,Driver,Carpenter,Ask a Neighbor,Author",,https://nextdoor.com/pages/timmyboy-comedy-podcast-new-york-city-ny/,66040882
LAB Cleaning Services,House cleaning service,,https://nextdoor.com/pages/lab-cleaning-services-rocky-face-ga/,66040888
Spotless squad ,House cleaning service,,https://nextdoor.com/pages/spotless-squad-florence-ms/,66040890
Mcrae&Sons logistics ,Couriers & delivery services,,https://nextdoor.com/pages/mcraesons-logistics-sellers-sc/,66040901
Maciel Construction,General contractor,+14697391911,https://nextdoor.com/pages/maciel-construction-mesquite-tx/,66040907
React 24/7 Dallas DBA Restoration Doc,"Construction,Kitchen remodeler,Bathroom remodeling service,Water damage restoration",+19723027053,https://nextdoor.com/pages/restoration-doc-plano-tx/,66040920
David Hall Painting & Handyman Services,"Plaster repair,Closet repair and renovation,Gutter service,Water damage restoration,Pressure washing,Drywall repair,Carpenter,Handyman,House painter",+16124426419,https://nextdoor.com/pages/david-hall-painting-handyman-services-missouri-city-tx/,66040945
